Training: 100%|████████████████████████████████████████████████████████████| 10/10 [01:07<00:00,  6.74s/it]
21:29:22.772 Testing @ 0 epoch...
21:29:29.451 Testing @ 1 epoch...
21:29:36.245 Testing @ 2 epoch...
21:29:43.038 Testing @ 3 epoch...
21:29:49.394 Testing @ 4 epoch...
21:29:55.983 Testing @ 5 epoch...
21:30:02.884 Testing @ 6 epoch...
21:30:09.732 Testing @ 7 epoch...
21:30:16.608 Testing @ 8 epoch...
21:30:23.388 Testing @ 9 epoch...
