Training: 100%|████████████████████████████████████████████████████████████| 10/10 [00:26<00:00,  2.64s/it]
21:21:04.855 Testing @ 0 epoch...
21:21:07.396 Testing @ 1 epoch...
21:21:10.114 Testing @ 2 epoch...
21:21:12.761 Testing @ 3 epoch...
21:21:15.261 Testing @ 4 epoch...
21:21:17.904 Testing @ 5 epoch...
21:21:20.469 Testing @ 6 epoch...
21:21:23.054 Testing @ 7 epoch...
21:21:25.653 Testing @ 8 epoch...
21:21:28.360 Testing @ 9 epoch...
