Training: 100%|████████████████████████████████████████████████████████████| 10/10 [00:25<00:00,  2.55s/it]
21:22:48.739 Testing @ 0 epoch...
21:22:51.252 Testing @ 1 epoch...
21:22:53.731 Testing @ 2 epoch...
21:22:56.265 Testing @ 3 epoch...
21:22:58.682 Testing @ 4 epoch...
21:23:01.111 Testing @ 5 epoch...
21:23:03.697 Testing @ 6 epoch...
21:23:06.363 Testing @ 7 epoch...
21:23:09.100 Testing @ 8 epoch...
21:23:11.907 Testing @ 9 epoch...
