Training: 100%|████████████████████████████████████████████████████████████| 10/10 [00:30<00:00,  3.09s/it]
21:23:49.209 Testing @ 0 epoch...
21:23:50.977 Testing @ 1 epoch...
21:23:52.927 Testing @ 2 epoch...
21:23:54.681 Testing @ 3 epoch...
21:23:56.827 Testing @ 4 epoch...
21:24:00.979 Testing @ 5 epoch...
21:24:05.139 Testing @ 6 epoch...
21:24:09.539 Testing @ 7 epoch...
21:24:14.048 Testing @ 8 epoch...
21:24:18.230 Testing @ 9 epoch...
