Training: 100%|████████████████████████████████████████████████████████████| 10/10 [00:46<00:00,  4.66s/it]
21:28:27.598 Testing @ 0 epoch...
21:28:32.083 Testing @ 1 epoch...
21:28:37.171 Testing @ 2 epoch...
21:28:41.861 Testing @ 3 epoch...
21:28:46.514 Testing @ 4 epoch...
21:28:51.237 Testing @ 5 epoch...
21:28:55.629 Testing @ 6 epoch...
21:29:00.308 Testing @ 7 epoch...
21:29:05.112 Testing @ 8 epoch...
21:29:09.878 Testing @ 9 epoch...
